TempLevel,Status,Percent,温度等级
Three,AcOnPercent,16.2093023,31-33℃
Three,AcOffPercent,0.1046512,31-33℃
Three,InOutCircleOnPercent,9.4302326,31-33℃
Three,InOutCircleOffPercent,6.8837209,31-33℃
Eight,AcOnPercent,30.6162791,其他
Eight,AcOffPercent,0.127907,其他
Eight,InOutCircleOnPercent,15.0581395,其他
Eight,InOutCircleOffPercent,15.6860465,其他
One,AcOnPercent,12.7674419,25-27℃
One,AcOffPercent,0,25-27℃
One,InOutCircleOnPercent,2.7325581,25-27℃
One,InOutCircleOffPercent,10.0348837,25-27℃
Two,AcOnPercent,15.7790698,28-30℃
Two,AcOffPercent,0.0232558,28-30℃
Two,InOutCircleOnPercent,5.5813953,28-30℃
Two,InOutCircleOffPercent,10.2209302,28-30℃
Six,AcOnPercent,0.8372093,41-43℃
Six,AcOffPercent,0,41-43℃
Six,InOutCircleOnPercent,0.6976744,41-43℃
Six,InOutCircleOffPercent,0.1395349,41-43℃
Four,AcOnPercent,18.2674419,34-37℃
Four,AcOffPercent,0.0581395,34-37℃
Four,InOutCircleOnPercent,13.1860465,34-37℃
Four,InOutCircleOffPercent,5.1395349,34-37℃
Seven,AcOnPercent,0.4186047,其他
Seven,AcOffPercent,0.0116279,其他
Seven,InOutCircleOnPercent,0.3488372,其他
Seven,InOutCircleOffPercent,0.0813953,其他
Five,AcOnPercent,5.3837209,38-40℃
Five,AcOffPercent,0.0232558,38-40℃
Five,InOutCircleOnPercent,4.244186,38-40℃
Five,InOutCircleOffPercent,1.1627907,38-40℃
